wv2_savi_M,wv2_savi_S,sno_savi_M,sno_savi_S,mos_savi_M,mos_savi_S,Dec_14,Dif_D_J,Jan_17,Dif_J_F,Feb_15,Dif_F_M,Mar_17,Dif_M_A,Apr_17,Dif_A_A,Apr_28
0.930772092,0.035837606,-0.048385791,0.001376173,-0.047187706,0.003199424,28.84996063,28.63454613,57.48450676,-2.282485972,55.20202079,21.99186018,77.19388097,-18.81938528,58.3744957,-22.6293033,35.7451924
0.944758919,0.027237459,-0.064718065,0.003557325,0.403780416,0.108967845,28.58867397,27.33778648,55.92646045,-4.840218427,51.08624202,18.89856328,69.98480531,-7.901272268,62.08353304,-32.89596241,29.18757064
0.80883491,0.020024696,-0.033837351,0.003612662,-0.017030281,0.089370893,25.92682144,26.45288882,52.37971026,0.231712625,52.61142288,17.437073,70.04849588,-10.59334391,59.45515197,-31.45481916,28.00033281
0.707883098,0.068554755,-0.043687265,0.006066828,-0.032259961,0.295983768,28.25253589,26.40739429,54.65993018,1.864453341,56.52438352,17.31284329,73.83722681,-12.69919203,61.13803478,-32.57765851,28.56037627
0.87863509,0.038666559,-0.045409146,0.004637996,0.03262525,0.18394109,27.73971132,27.82512573,55.56483705,-0.068441367,55.49639569,21.34076041,76.8371561,-20.88303195,55.95412415,-21.65811987,34.29600428
0.854024378,0.022233164,-0.047086051,0.007124329,0.009692377,0.149300069,27.69379004,27.71192902,55.40571906,1.508291507,56.91401057,20.06277741,76.97678798,-21.45878252,55.51800547,-21.70927086,33.80873461
-0.211731951,0.019933269,-0.195500593,0.016854594,-0.82381419,0.101303628,37.60273358,34.89420554,72.49693912,-10.17341115,62.32352797,2.317947663,64.64147563,12.53878443,77.18026006,-11.16892708,66.01133298
0.92152072,0.047004616,-0.055612805,0.010994302,0.211913138,0.221642258,33.17083546,28.17531134,61.3461468,2.320153348,63.66630015,17.20845118,80.87475133,-9.22763321,71.64711812,-32.56300933,39.08410878
0.940357749,0.030620363,-0.053317785,0.004086199,0.151175888,0.217278856,33.67582314,26.09070325,59.76652639,2.428731168,62.19525756,16.32508292,78.52034048,-7.734659445,70.78568104,-33.71919267,37.06648836
0.955267763,0.02640892,-0.052703652,0.007504024,0.243104176,0.245501808,34.00211738,26.46895868,60.47107606,2.612501112,63.08357717,16.85177701,79.93535418,-7.220035645,72.71531854,-34.43010562,38.28521291
0.867424643,0.030579244,0.002938324,0.03526862,0.226770663,0.306443691,33.39445609,30.04486327,63.43931936,0.144230278,63.58354964,17.7223411,81.30589075,-4.552947918,76.75294283,-31.89764755,44.85529528
0.803204872,0.090671571,0.150252244,0.064140487,0.516741568,0.347501463,33.83400103,26.61731217,60.4513132,-0.24830268,60.20301052,16.16553718,76.3685477,-6.995402688,69.37314502,-29.84987608,39.52326894
0.65611967,0.100169748,0.092956364,0.083074168,0.02974635,0.214090004,29.97404896,32.27714359,62.25119256,-1.122748618,61.12844394,19.4926734,80.62111734,-13.06161106,67.55950628,-23.51951119,44.03999509
0.689132368,0.072230424,0.099503478,0.059447713,0.109132834,0.274620688,29.12937492,32.23896043,61.36833536,-0.116692398,61.25164296,17.96913321,79.22077617,-11.55523802,67.66553815,-20.61241318,47.05312497
0.759873506,0.04307459,0.162374657,0.066102813,0.087083103,0.264912135,35.33352832,28.35211938,63.6856477,-0.410818513,63.27482919,19.94141066,83.21623985,-11.48743694,71.72880291,-27.47818597,44.25061694
0.902213494,0.02878507,-0.052119299,0.00644494,0.231134577,0.253567128,27.15536604,26.08752136,53.2428874,-1.926426643,51.31646076,19.33844269,70.65490345,-11.75474311,58.90016033,-32.12060549,26.77955484
0.769001649,0.050582405,-0.040929086,0.00357658,0.039584978,0.165164046,25.26962702,27.88072671,53.15035373,-2.328604662,50.82174907,20.1609063,70.98265537,-10.95630365,60.02635172,-36.11699234,23.90935938
0.874512304,0.038301065,-0.026527675,0.008371747,-0.048860537,0.014960164,28.18324606,33.13435659,61.31760265,-4.488818943,56.8287837,24.86906014,81.69784385,-18.39353378,63.30431007,-24.12296846,39.18134161
0.974508253,0.044613331,-0.038625081,0.010138834,0.041621617,0.165279001,30.67050232,33.44924635,64.11974867,0.884525381,65.00427405,20.12448896,85.12876301,-16.57960125,68.54916175,-28.67672242,39.87243933
0.979953642,0.055610674,-0.041584491,0.013318656,0.231743242,0.291050175,40.12641495,31.56052665,71.68694159,-0.450739563,71.23620203,19.93566302,91.17186505,-10.1437191,81.02814595,-31.21212214,49.81602381
0.949949679,0.074163177,-0.032206405,0.018921313,0.036531685,0.162403411,35.85616157,31.32654418,67.18270575,0.859820686,68.04252644,19.50929464,87.55182107,-10.25247411,77.29934696,-30.60864121,46.69070576
0.962362933,0.010546344,-0.059423186,0.006103174,0.13926524,0.204243302,31.37251221,26.26699103,57.63950324,-0.208229841,57.4312734,18.65716429,76.08843769,-7.843555673,68.24488201,-30.54252554,37.70235648
0.497958345,0.167598414,-0.009097096,0.023518695,0.17414275,0.209268792,33.75801049,34.7863878,68.54439829,-0.12156108,68.42283721,22.50234003,90.92517724,-16.08828485,74.83689239,-24.08226143,50.75463096
0.77399809,0.070837122,0.110676794,0.07838991,0.21359111,0.335538233,29.66475042,25.87160968,55.5363601,4.134517572,59.67087768,16.87946458,76.55034226,-13.17670169,63.37364057,-22.88060377,40.4930368
0.672818871,0.08315616,0.156961796,0.07324176,0.162936988,0.308370048,28.41312529,27.33907808,55.75220337,3.28933529,59.04153866,15.26557639,74.30711505,-11.11102168,63.19609337,-24.5136669,38.68242647
0.73910399,0.066874463,0.178362451,0.071394253,0.236499505,0.325619354,28.82797882,27.98367622,56.81165504,2.882328301,59.69398334,16.36793869,76.06192204,-12.24081183,63.8211102,-22.5299221,41.2911881
0.75303185,0.037343555,0.060728086,0.048806342,-0.045893855,0.037119539,27.78530283,28.91999982,56.70530265,-0.539302312,56.16600034,20.29720024,76.46320058,-19.36358562,57.09961496,-18.78904379,38.31057117
0.587016578,0.087581206,0.04681059,0.047218276,0.052048144,0.22964019,33.41712622,33.27981891,66.69694513,-1.863068722,64.8338764,20.53223448,85.36611089,-12.994463,72.37164788,-24.01543155,48.35621633
