wv2_B1_M,wv2_B1_S,wv2_B2_M,wv2_B2_S,wv2_B3_M,wv2_B3_S,wv2_B4_M,wv2_B4_S,wv2_B5_M,wv2_B5_S,wv2_B6_M,wv2_B6_S,wv2_B7_M,wv2_B7_S,wv2_B8_M,wv2_B8_S,sno_B1_M,sno_B1_S,sno_B2_M,sno_B2_S,sno_B3_M,sno_B3_S,sno_B4_M,sno_B4_S,sno_B5_M,sno_B5_S,sno_B6_M,sno_B6_S,sno_B7_M,sno_B7_S,sno_B8_M,sno_B8_S,mos_B1_M,mos_B1_S,mos_B2_M,mos_B2_S,mos_B3_M,mos_B3_S,mos_B4_M,mos_B4_S,f1_slope_M,f1_slope_S,f1_dtm_MEA,f1_dtm_STD,f1_dsm_MEA,f1_dsm_STD,f1_chm_MEA,f1_chm_STD,f2_slope_M,f2_slope_S,f2_dtm_MEA,f2_dtm_STD,f2_dsm_MEA,f2_dsm_STD,f2_chm_MEA,f2_chm_STD,dtm_dif_ME,dtm_dif_ST,f1_int_M,f1_int_S,f2_int_M,f2_int_S,wv2_ndvi_M,wv2_ndvi_S,sno_ndvi_M,sno_ndvi_S,mos_ndvi_M,mos_ndvi_S,wv2_ndwi_M,wv2_ndwi_S,sno_ndwi_M,sno_ndwi_S,mos_ndwi_M,mos_ndwi_S,wv2_ci_g_M,wv2_ci_g_S,wv2_ci_r_M,wv2_ci_r_S,sno_ci_g_M,sno_ci_g_S,sno_ci_r_M,sno_ci_r_S,mos_ci_g_M,mos_ci_g_S,wv2_savi_M,wv2_savi_S,sno_savi_M,sno_savi_S,mos_savi_M,mos_savi_S,Dec_14,Dif_D_J,Jan_17,Dif_J_F,Feb_15,Dif_F_M,Mar_17,Dif_M_A,Apr_17,Dif_A_A,Apr_28,Class
289.7939698,1.157350908,309.0854271,0.933862511,333.2663317,9.80177515,209.8844221,7.272285696,117.5628141,3.196232726,337.4371859,38.38557131,365.4673367,46.76765717,388.0251256,38.81348742,197.53,6.475268334,202.76,6.233169338,204.365,7.29669617,203.035,6.922699979,202.155,7.587553954,199.43,6.133115032,193.41,5.645520348,185.555,5.986399168,129.5487203,60.04011331,125.6124832,64.65369242,128.2096991,64.96408828,132.9748541,57.28270118,4.832050534,4.656664158,198.9251385,0.06927284,199.0266158,0.490271437,0.10147728,0.491301085,3.636432005,1.855733229,198.6748178,0.03391331,198.8392296,0.5604463,0.164411774,0.553197984,0.250320663,0.062175938,148.9230769,17.56290469,48.51923077,46.1891972,0.509408968,0.037510765,-0.021965429,0.007455041,0.030898054,0.106628128,-0.042183953,0.050496243,0.0274306,0.007092763,-0.046296257,0.088321232,0.09392502,0.110881034,0.081667275,0.033569925,-0.053303654,0.013449933,-0.030099396,0.008501675,0.117528774,0.22187302,0.763320923,0.056287908,-0.032906777,0.011169176,0.046223678,0.159529716,32,20,52,14,66,19,85,-12,73,-27,46,39
292.1980198,2.273479481,313.6980198,4.777514997,368.5,15.82085664,242.7524752,11.51400864,128.1287129,6.775265683,483.7722772,42.68544427,554.460396,51.21321105,572.9653465,45.99304497,200.9545455,10.12412633,206.8434343,9.048730718,205.6919192,9.018557487,200.2929293,11.64608793,202.8535354,9.175822569,198.2020202,10.32549047,194.3737374,9.392760869,185.6313131,9.545765855,161.3361836,56.22760529,158.5765077,63.59239751,158.1660666,67.14639259,176.009901,42.24410324,3.224068087,2.370486057,200.6225559,0.03644598,200.6926848,0.310297674,0.070128855,0.330968157,4.627432803,3.445057798,200.3592282,0.048701214,200.4836836,0.355253554,0.124455385,0.335272911,0.263327705,0.055211307,156.8627451,18.81595027,102.254902,45.42817781,0.62348999,0.013216782,-0.021420232,0.00657518,0.088426205,0.147636016,-0.199665474,0.026829592,0.028396467,0.007771469,-0.081126695,0.121210373,0.50172469,0.082649696,0.145876535,0.021070241,-0.055113226,0.014759109,-0.01897003,0.016399927,0.220834348,0.338009647,0.934546494,0.019869306,-0.032089729,0.009850192,0.132322371,0.220972689,31,35,66,2,68,18,86,-7,79,-30,49,39
289.5583756,1.389917794,312.5888325,2.564592398,374.6345178,7.659533484,258.8984772,8.104009643,139.4822335,2.942069972,483.4670051,17.09439834,532.5786802,15.71736898,553,16.30639375,242.0961538,1.6202993,246.0769231,2.285793532,244.4615385,1.216260639,242.6538462,1.439612867,240.4615385,1.216260639,229.5576923,1.703090647,224.5961538,1.113891574,213.1346154,3.39132857,120.8924392,54.29716751,108.7844284,58.65779622,104.6291629,59.99235036,147.0648065,37.46302508,1.521200967,1.251337097,200.9357022,0.023233843,200.9376989,0.023412389,0.001996701,0.003888116,1.328816528,0.712381379,200.7221049,0.017174036,200.7312717,0.014806089,0.009166791,0.006721878,0.213597298,0.012994162,145.9807692,5.868725404,46.88461538,24.2357443,0.584712311,0.011883825,-0.034114529,0.001771693,0.215201618,0.140142062,-0.173972544,0.009237499,0.042351527,0.001755497,-0.192613149,0.129244473,0.421529296,0.027029938,0.101905326,0.014526137,-0.081256061,0.003231192,-0.021592999,0.003282165,0.539293314,0.392659597,0.876416308,0.017823659,-0.051116835,0.002654705,0.321970485,0.209664922,28,22,50,2,52,15,67,-10,57,-33,24,38
289.04,0.99919968,311.345,2.390810532,366.44,3.107474859,236.185,5.244118134,125.235,1.284435674,488.57,17.54779473,559.585,14.49250755,556.185,17.68193358,238.7939698,4.618377515,240.6180905,0.85939933,240.0603015,1.21811367,236.798995,4.514610452,235.1507538,1.67373651,224.798995,2.706738102,220.4120603,2.129254305,210.5829146,3.929262663,94.38993711,49.58276741,88.51437556,53.29332804,92.46855346,52.62935674,122.1473495,40.7519818,2.527667054,1.759007776,200.9129099,0.031728089,200.9154579,0.031128967,0.002547988,0.004642658,2.449213202,1.285074002,200.701339,0.023698514,200.7120892,0.021141266,0.010750162,0.011206338,0.211570855,0.031850552,154.2,7.079548008,52.16,38.09743298,0.634070266,0.009689021,-0.032363158,0.003082134,0.168717232,0.131152698,-0.208411205,0.00919998,0.042686286,0.002984644,-0.200059632,0.130430996,0.526900212,0.028903955,0.145843137,0.018047562,-0.081861821,0.005483895,-0.019329055,0.017804918,0.565966641,0.409078843,0.950411394,0.014536164,-0.048491495,0.004617968,0.252339416,0.196218375,31,24,55,1,56,18,74,-9,65,-47,18,33
284.8731707,2.281102043,299.5804878,3.018578208,307.995122,3.795372742,195.3121951,2.618898961,109.995122,0.929188269,272.9804878,15.88217623,283.2439024,19.20261731,289.7658537,21.89072205,234.36,1.565375354,236.48,2.64,236.645,3.319484147,235.87,2.858863411,234.41,3.304829799,224.075,1.519662792,218.835,2.996293544,211.005,3.225674348,29.45867026,4.493516227,33.04627134,3.229624362,46.42093441,3.98822303,26.62398922,3.609926851,2.629037655,1.302247175,199.4149847,0.027477141,199.4192348,0.028560218,0.004250183,0.004034469,1.982283246,1.682089362,199.2220563,0.035337156,199.2858162,0.009908016,0.063759918,0.031568648,0.192928391,0.054193176,152.8,6.039867548,0.06,0.237486842,0.439288155,0.026928645,-0.034359977,0.002356742,-0.271974412,0.07431687,0.042892129,0.026597083,0.039098579,0.002601006,0.109069212,0.083997284,-0.080967521,0.050530272,0.037127972,0.015338979,-0.075242695,0.004833876,-0.023416125,0.008518671,-0.186078391,0.141136433,0.658095954,0.040381967,-0.05148317,0.003531379,-0.405163133,0.110669112,25,28,53,3,56,15,71,-11,60,-35,25,34
296.1330049,3.270564998,315.4778325,8.293462986,353.3103448,15.6811594,225.8472906,15.5779094,121.7881773,10.80181786,510.8374384,64.9790279,643.91133,83.90055115,610.8916256,83.09806705,89.49,12.02330653,90.01,11.31723906,90.295,13.1258514,90.21,13.18620112,89.225,13.66251715,107.69,10.12540863,113.615,7.077201071,119.945,6.273912256,97.10296763,19.85282427,97.30755396,19.21849511,66.61196043,14.27397834,185.5544065,18.50030887,4.738658434,2.083395739,199.2161352,0.042116183,211.6327792,2.192286372,12.41664398,2.208932799,4.532404044,2.30466789,199.0725468,0.036810999,211.9092999,2.127080047,12.83675308,2.121266289,0.143588333,0.052211821,75.67346939,19.81690451,64.69387755,20.60830433,0.679527619,0.029630407,0.124569289,0.052424577,0.475299092,0.074011739,-0.287144653,0.047385477,-0.118242497,0.04576533,-0.318315519,0.062450328,0.818221373,0.189716181,0.260310236,0.029504416,0.274047073,0.112818735,0.058402958,0.045432913,0.961137199,0.299762646,1.018618651,0.044469376,0.186374622,0.078408302,0.711507301,0.110724673,35,19,54,2,56,17,73,-11,62,-18,44,31
292.385,4.605081433,312.9,7.933473388,346.17,22.2144345,218.42,19.37146355,115.615,12.96135699,361.79,47.10600705,385.535,50.98979089,372.315,34.34757306,85.03980099,9.016204757,87.19402985,9.654590029,91.37313433,10.90506636,85.83084577,11.1681514,88.16915423,9.20421944,101.8706468,8.45257087,105.0547264,7.47945711,107.4129353,5.028637575,100.0423805,23.47776816,104.9788097,24.29828542,82.70739405,29.50038665,178.2601443,16.65077702,5.12550771,4.734176804,200.0510841,0.071845098,214.8045578,3.929588298,14.75347369,3.913983121,4.585145682,2.304289869,199.8507083,0.062833942,214.9532326,3.617900945,15.10252434,3.588560204,0.200375761,0.041849743,54.45098039,21.98066327,46.60784314,19.75941417,0.537769657,0.01061837,0.088799817,0.031016156,0.380574326,0.142962275,-0.050787043,0.031039702,-0.071847256,0.036029989,-0.267436811,0.095138264,0.109373831,0.072370463,0.06620528,0.037566636,0.158286305,0.089563817,0.032921507,0.040868948,0.776404581,0.363386081,0.805840277,0.015967036,0.132847922,0.046378102,0.569709191,0.213947483,29,22,51,6,57,11,68,-7,61,-27,34,19
318.275,4.09992378,371.085,8.603939505,440.2,17.05637711,331.015,19.67447013,224.41,15.05230547,461.47,15.47188095,462.445,10.87873959,474.57,12.5656317,176.2338308,7.146654908,182.9054726,11.62284677,188.6766169,9.782708906,189.800995,8.149730576,189.1243781,11.33126054,194.4477612,5.573436239,189.6069652,4.325068802,182.3482587,4.983366307,113.8092668,19.44399352,103.0899685,20.89185579,92.22222222,21.92872992,155.0895187,16.0599303,4.903416581,2.248768272,200.5708607,0.067804742,201.1557915,1.73686538,0.584930799,1.760427545,3.17189841,2.780627065,200.4019302,0.051537173,201.0269343,1.688158504,0.625004099,1.695463894,0.168930509,0.045722355,137.82,23.17558198,157.36,31.17226973,0.34721564,0.022401133,0.002076264,0.023942362,0.260818645,0.081203662,-0.024873934,0.011295658,-0.003021248,0.018925616,-0.20687303,0.064220187,0.051292616,0.023808075,0.002498647,0.014279197,0.006801201,0.039009399,-0.02461851,0.01536204,0.538773675,0.213926006,0.520443416,0.033566544,0.003108625,0.035863822,0.390407505,0.121514978,21,27,48,4,52,15,67,-25,42,-11,31,28
289.3913043,1.21047032,311.4830918,6.150170188,334.4154589,7.72419204,209.1980676,11.82539624,113.0676328,3.092028976,314.4782609,15.93520275,320.3188406,6.108897653,314.7777778,15.42251597,86.445,9.932621759,85.49,9.503152109,89.205,4.837662142,88.385,5.941950437,86.805,5.922581785,112.06,2.275170323,118.26,4.036384521,124.485,6.015793796,90.67477477,40.19699906,91.25,42.20322054,81.55855856,47.45517272,144.5833333,29.8132293,5.385162774,6.670967128,198.7020008,0.087299796,202.3616724,3.214831189,3.659671631,3.202822315,1.644310118,0.979348185,198.4535944,0.021334261,202.9535983,2.980697934,4.500003967,2.978960025,0.248406448,0.075809764,84.12,45.09396412,78.76,48.84283366,0.478158357,0.014433286,0.153935832,0.045106455,0.318699557,0.174994946,0.021479414,0.017949722,-0.14028168,0.037767237,-0.255739614,0.128389276,-0.041444756,0.034755088,0.021733026,0.064713736,0.330767888,0.100858388,0.055791091,0.042495763,0.760646066,0.430432554,0.716410936,0.021628091,0.230339766,0.067486195,0.476797809,0.261811757,26,25,51,5,56,15,71,-9,62,-26,36,28
294.8232323,8.884447065,321.4090909,16.64147545,346.1565657,45.3322274,223.9191919,37.34771822,129.8838384,29.26803409,316.9949495,95.8138187,311.5808081,99.47179203,296.0909091,83.61215065,96.86,14.62635977,94.965,13.18232813,100.395,11.79529461,95.74,11.52919772,96.01,10.02346746,112.885,6.434421108,115.565,6.286157411,117.8,11.28583183,170.3276404,31.30104748,177.8323596,32.02256557,180.8296629,36.66587945,185.8723596,15.76301674,2.462045289,1.810158233,201.1849177,0.031987362,203.0219519,2.772079545,1.837034225,2.790607877,3.927531987,1.996635503,200.9468613,0.065377087,203.0010275,2.852749969,2.054166183,2.899779302,0.238056412,0.037832749,122.9,40.93910111,99.94,35.66477814,0.402320195,0.034577109,0.093991775,0.06317205,0.024063843,0.10262151,0.069842716,0.078948069,-0.072585984,0.068510594,-0.029610006,0.078401977,-0.119445219,0.150726413,-0.021020884,0.017202659,0.169329307,0.173420241,0.025403485,0.056282967,0.076649076,0.194006291,0.602763656,0.051962593,0.140649019,0.094519154,0.036019192,0.15366831,27.61111111,32.40277789,60.013889,0.0625,60.076389,18.263889,78.340278,-3.354167,74.986111,-18.340278,56.645833,37.75877693
